Name,Website,Phone number,Location,Latitude,Longitude,Called,Answered,Voicemail,Not interested,Wants demo
A-1 Roofing,http://a1roofingnw.com/,604-780-0128,"Burnaby, British Columbia, Canada",49.1859700,-122.9703186,☐,☐,☐,☐,☐
A-Top Roofing Ltd,http://www.atoproofing.ca/,778-874-0421,"Vancouver, BC (service area; exact address not published)",,,☐,☐,☐,☐,☐
Absolute Roof Solutions Ltd,http://www.absoluteroof.ca/,604-263-0334,"1676 75 Avenue W, Vancouver, BC, V6P 6G2, Canada",49.2060502,-123.1463348,☐,☐,☐,☐,☐
Accurate Roofing Ltd.,https://accurateroofing.ca/,604-250-3939,"2812 Main Street, Vancouver, British Columbia, V5T 3E8, Canada",49.2600005,-123.1009955,☐,☐,☐,☐,☐
Adanac Roofing & Gutters,https://adanac.ca/,778-655-3036,"206-456 Moberly Rd, Vancouver, BC, V5Z 4L7, Canada",49.2687001,-123.1174317,☐,☐,☐,☐,☐
All Coast Roofing,https://allcoastroofing.ca/,778-229-0250,"3478 Pandora St, Vancouver, BC, V5K 1W8, Canada",,,☐,☐,☐,☐,☐
Apis Roofing Ltd,http://www.apisroof.com/,604-442-8028,"3959 Bond Street, Burnaby, BC, V5H 1E7, Canada",49.2355167,-123.0170301,☐,☐,☐,☐,☐
Arbutus Roofing & Drains (2006) Ltd,http://www.arbutusroofing.com/,604-214-4422,"315-2233 Burrard St, Vancouver, BC, V6J 3H9, Canada",49.266012,-123.1456914,☐,☐,☐,☐,☐
B-Cheema Roofing Ltd,http://www.bcheemaroofing.ca/,604-722-3600,"2242 168 St, Surrey, BC, V3Z 0B5, Canada",49.04276,-122.757026,☐,☐,☐,☐,☐
Bakerview Roofing Ltd.,https://www.bakerviewroofing.ca/,778-222-6819,"24125 110 Avenue, Maple Ridge, BC, V2W 1J3, Canada",49.2116629,-122.6417766,☐,☐,☐,☐,☐
Best J R Roofing Ltd,http://bestjrroofingltd.ca/,604-209-1686,"201-8381 128 St, Surrey, BC, V3W 4G1, Canada",49.155117,-122.868109,☐,☐,☐,☐,☐
Cambie Drainage Contractors Ltd,http://cambieroofing.com/,604-261-1111,"1367 E Kent Ave North, Vancouver, BC, V5X 4T6, Canada",49.209225,-123.078886,☐,☐,☐,☐,☐
Canuck Roofing Ltd,https://canuckroofing.ca/,778-772-1969,"4310 Norfolk Street, Burnaby, BC, V5G 4J9, Canada",49.2550141,-123.0076335,☐,☐,☐,☐,☐
Chisholm Roofing Ltd,http://chisholmroofing.ca/,604-325-8099,"1083 East Kent Avenue North, Vancouver, BC, V5X 4V9, Canada",49.208691,-123.085183,☐,☐,☐,☐,☐
Collingwood Roofing Ltd,http://collingwoodroofing.ca/,604-779-5014,"5080 Rupert St, Vancouver, BC, V5R 2J8, Canada",49.23893,-123.039451,☐,☐,☐,☐,☐
Crown Roofing & Drainage,http://www.crownroofingltd.com/,604-327-3086,"201-11655 Eburne Way, Richmond, BC, V6V 2M1, Canada",49.2014161,-123.0927046,☐,☐,☐,☐,☐
Crucial Roof Services Ltd,http://crucialroofservices.com/,604-638-2192,"7813 Garfield Drive, Delta, BC V4C 4C9",,,☐,☐,☐,☐,☐
Drytech Renovations & Roofing Inc,http://www.drytech.ca/,604-228-7633,"1230 75th Ave W, Vancouver, BC, V6P 3G3, Canada",49.202136,-123.133386,☐,☐,☐,☐,☐
Dulai Roofing Ltd,http://www.dulairoofing.com/,604-874-2111,"Vancouver, BC, Canada",,,☐,☐,☐,☐,☐
Eco Exteriors Roofing and Solar Ltd.,https://ecoexteriors.com?utm_source=google&utm_medium=organic&utm_campaign=gbp,604-985-4326,"144 19th Street East, North Vancouver, BC, V7L 2Y8, Canada",49.3264713,-123.0702352,☐,☐,☐,☐,☐
Enviro-Green Roof Restorations - Roof Cleaning & Moss Removal,https://enviro-roofrestoration.com/,604-505-9744,"2828 Main St, Vancouver, BC, V5T 3G2, Canada",49.259867,-123.101014,☐,☐,☐,☐,☐
Fraserview Roofing,http://www.fraserviewroofing.com/,604-897-3614,"5907 Culloden Street, Vancouver, BC, V5W 3S3, Canada",49.230609,-123.0787602,☐,☐,☐,☐,☐
H B Roofing Ltd,http://hbroofing.ca/,604-946-5346,"Delta, BC (service area; exact address not published)",,,☐,☐,☐,☐,☐
H Paras Roofing,http://www.vancouver-roofing.com/,604-319-1312,"Vancouver, Surrey, Langley, Fraser Valley, Richmond, Burnaby, BC (service area; exact address not published)",,,☐,☐,☐,☐,☐
In Awe Roofing,https://inaweroofing.com/,604-255-7663,"Vancouver, Greater Vancouver, Langley, BC (service area; exact address not published)",,,☐,☐,☐,☐,☐
Interlock Metal Roofing - BC,https://www.roofbc.com,604-210-3850,"9969 River Way, Delta, British Columbia, V4G 1M8, Canada",49.1496769,-122.9479028,☐,☐,☐,☐,☐
Kerrisdale Roofing & Drains,https://kerrisdaleroofinganddrains.com/,604-360-2114,"Vancouver, BC, V6B 3P7, Canada",49.279175,-123.113756,☐,☐,☐,☐,☐
Komo Roofing,https://www.komoroofing.com,778-888-0449,"1917 West 4th Avenue, Vancouver, British Columbia, V6J 1M7, Canada",49.2682859,-123.1485188,☐,☐,☐,☐,☐
Laurentian Roofing Inc,http://laurentianroofing.com/,604-345-7663,"8165 Main St, Vancouver, BC, V5X 3L2, Canada",49.2117025,-123.1022007,☐,☐,☐,☐,☐
Lockhart Roofing,https://lockhart-roofing.ca/,604-314-5544,"North Vancouver, Lower Mainland, BC (service area; exact address not published)",,,☐,☐,☐,☐,☐
Max Roofing,https://maxroofingbc.ca/,604-379-1751,"407- 5932 Patterson Ave, Vancouver, BC, V6B 3P7, Canada",49.2305727,-123.0126294,☐,☐,☐,☐,☐
MPG Roofing,http://mpgroofing.ca/,604-916-1428,"200-1982 Broadway W, Vancouver, BC, V6J 1Z2, Canada",49.2637816,-123.1500086,☐,☐,☐,☐,☐
Navco Construction / Roofing,http://www.navcoconstruction.com/,778-588-7477,"414-2368 Marpole Ave, Port Coquitlam, BC, V3C 0B4, Canada",49.261957,-122.784327,☐,☐,☐,☐,☐
Pacific Shores Roofing Company,http://www.pacificshoresroofing.com/,604-841-4426,"Vancouver, Surrey, Langley, Lower Mainland, BC (service area; exact address not published)",,,☐,☐,☐,☐,☐
Penfolds Roofing Inc,http://www.penfoldsroofing.com/,604-254-4663,"2230 Hartley Ave, Coquitlam, BC, V3K 6X3, Canada",49.22565,-122.832869,☐,☐,☐,☐,☐
Pro Torch Roofing,http://www.protorchroofing.ca/,778-316-1247,"Burnaby, BC, V5J 0C4, Canada",49.2157499,-122.9790909,☐,☐,☐,☐,☐
Regan Roofing Ltd,https://reganroofing.ca/,604-324-1574,"105-8838 Heather St, Vancouver, BC, V6P 3S8, Canada",49.205661,-123.1230574,☐,☐,☐,☐,☐
Reliable Roof Repair,http://www.reliableroofrepair.ca/,604-259-0011,"408 Kent Ave South E, Vancouver, BC, V5X 2X7, Canada",49.207332,-123.09829,☐,☐,☐,☐,☐
Sierrans Roofing Ltd,https://sierransroofing.ca/,778-997-8301,"19739 71B Ave, Langley, BC, V2Y 3G8, Canada",,,☐,☐,☐,☐,☐
SRS Roofing & Exteriors,https://www.srsroofing.ca,604-655-8194,"123 Street, Surrey, British Columbia, V3W 9J1, Canada",49.1354786,-122.8812150,☐,☐,☐,☐,☐
Williams Roofing & Drainage Ltd,http://williamsroofing.ca/,604-650-0929,"12205 Industrial Road Surrey, BC V3V 3S1",,,☐,☐,☐,☐,☐
